1049675935253979137,2018-10-09 15:00:19,b'Go to #UpliveUSA right now and tune in to #HelloWorld with @jazzymel55 #GetInspired #Broadcasting #LiveItUp https://t.co/iZxR9e3bWZ',0,1
1049675858284343297,2018-10-09 15:00:01,"b""RT @malprin: \xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best friend is a dog\xe2\x80\xa6""",0,10
1049674962179710978,2018-10-09 14:56:27,b'C5 Blasting Kinda Morning!! #HelloWorld',0,0
1049669281057820672,2018-10-09 14:33:53,"b'RT @rdv1814: #HelloWorld! ***BREAKING NEWS!!! *** Janet Jackson needs your vote, too!!! Help us make this happen! https://t.co/E3nebuetHg #\xe2\x80\xa6'",0,2
1049668528842915840,2018-10-09 14:30:53,"b'RT @rdv1814: #HelloWorld! ***BREAKING NEWS!!! *** Janet Jackson needs your vote, too!!! Help us make this happen! https://t.co/E3nebuetHg #\xe2\x80\xa6'",0,2
1049666948987019264,2018-10-09 14:24:37,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 13. have a nice day! #otoslotto',0,0
1049666335620382720,2018-10-09 14:22:10,"b""RT @malprin: \xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best friend is a dog\xe2\x80\xa6""",0,10
1049660527599898625,2018-10-09 13:59:06,"b'#HelloWorld! ***BREAKING NEWS!!! *** Janet Jackson needs your vote, too!!! Help us make this happen!\xe2\x80\xa6 https://t.co/moXIhNPqat'",5,2
1049651849073176576,2018-10-09 13:24:37,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 75. have a nice day! #otoslotto',0,0
1049641457773105153,2018-10-09 12:43:19,"b""Apparently I need my own account so I don't clutter @TheDataShed 's feed! (So says @edthewlis ) Anyway - #helloworld""",1,0
1049636749562052608,2018-10-09 12:24:37,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 0. have a nice day! #otoslotto',0,0
1049635884365242369,2018-10-09 12:21:10,b'#Hello #helloworld What time is it where you are? Its 6:20am over here in western canada',0,0
1049632436475322368,2018-10-09 12:07:28,"b""9.9/10 for the excellent #helloworld by @FryRsquared\n\nThe missing 0.1 is for the omission of everyone's favourite A\xe2\x80\xa6 https://t.co/Yel4l3tKUq""",1,0
1049629545849126913,2018-10-09 11:55:59,b'Thanking God for another1 #HelloWorld  itz time to Rise and Grind people #workflow\xf0\x9f\x92\xb0 Chase the bag Lil Bud.. Pow Har\xe2\x80\xa6 https://t.co/FJRZDJ1PJh',0,0
1049626243686121473,2018-10-09 11:42:52,"b'Amazing street art in Millennium Park, Chicago \xf0\x9f\x98\xb2  #crownfountain #chicago #usa #fountain #keepcool #art #summertime\xe2\x80\xa6 https://t.co/AdgTkKXOfS'",0,0
1049621649216204805,2018-10-09 11:24:36,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 31. have a nice day! #otoslotto',0,0
1049606549369425920,2018-10-09 10:24:36,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 92. have a nice day! #otoslotto',0,0
1049604719914754049,2018-10-09 10:17:20,b'Hello! ......and yay!! \xf0\x9f\x98\x8d\xe2\x98\xba\xef\xb8\x8f\xe2\x9c\x8c\xf0\x9f\x8f\xbb\nCan\xe2\x80\x99t wait.......\n\n#tarot #tarotdeck #benebellwen #design #special #selfpublished\xe2\x80\xa6 https://t.co/5XbnhwgPNJ',0,0
1049592620861788160,2018-10-09 09:29:15,b'Hey so I started a #YouTube channel come see the #cringe #HelloWorld https://t.co/TaQgwC2DKJ',0,0
1049591449417867264,2018-10-09 09:24:36,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 58. have a nice day! #otoslotto',0,0
1049580144728379392,2018-10-09 08:39:41,"b""RT @malprin: \xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best friend is a dog\xe2\x80\xa6""",0,10
1049567942600482816,2018-10-09 07:51:12,"b""RT @malprin: \xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best friend is a dog\xe2\x80\xa6""",0,10
1049564376188014593,2018-10-09 07:37:01,"b""What's 'Hello World' of Datascience? It's the famous Iris dataset. Try it now in a few lines of code at\xe2\x80\xa6 https://t.co/L0zKqBjnEA""",2,0
1049563479848493056,2018-10-09 07:33:28,"b""RT @malprin: \xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best friend is a dog\xe2\x80\xa6""",0,10
1049556743158681600,2018-10-09 07:06:42,"b""RT @malprin: \xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best friend is a dog\xe2\x80\xa6""",0,10
1049555184744062977,2018-10-09 07:00:30,"b""\xe2\x80\x9cIt's obvious that women are smarter than men. \nThink about it - diamonds are a girl's best friend; man's best frie\xe2\x80\xa6 https://t.co/EuEy1urHy2""",96,10
1049555039386292226,2018-10-09 06:59:55,b'RT @MamiSteff: Autumn gets in your pond\n#fountain #waterreflections #water #autumncolors #autumncolours #fall #autumn #autumnally #brianza\xe2\x80\xa6',0,1
1049553823176347648,2018-10-09 06:55:05,b'Autumn gets in your pond\n#fountain #waterreflections #water #autumncolors #autumncolours #fall #autumn #autumnally\xe2\x80\xa6 https://t.co/gcKtRWB4DP',0,1
1049552875851014144,2018-10-09 06:51:20,b'Greeny Waves\n#greeny #green #waves #nature #helloworld #natureonly #naturegram #brianza #brianzagardens\xe2\x80\xa6 https://t.co/wvFzWmoSWD',1,0
1049550904414916608,2018-10-09 06:43:29,b'Good morning ..\n\n#helloworld https://t.co/8ySGE1h7S1',0,0
1049549635230945281,2018-10-09 06:38:27,b'#nofilter #beachwalk #walking #beaches #beachy #lifesabeach #blessetobehere #grateful #sunrise #sunshine #sunup\xe2\x80\xa6 https://t.co/Ij9q3phviD',0,0
1049546149663772673,2018-10-09 06:24:36,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 93. have a nice day! #otoslotto',0,0
1049543811393675264,2018-10-09 06:15:18,"b'RT @ORCLCitizenship: Week two begins! With support from #OracleVolunteer coaches, @dTechHS students practice their #designthinking and #pro\xe2\x80\xa6'",0,7
1049531049716400128,2018-10-09 05:24:36,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 6. have a nice day! #otoslotto',0,0
1049525585435811841,2018-10-09 05:02:53,b'RT @modulardata: Historical data costs are prohibitive for startups. Partnering with  startups might be better for platform innovation #hel\xe2\x80\xa6',0,11
1049520404497387520,2018-10-09 04:42:18,"b'LIGHTS, CAMERA, ACTION: HELLOWORLD the TV show airs to thousands of Aussies https://t.co/aHHUF52CvR @helloworldau\xe2\x80\xa6 https://t.co/hmWniG4LQJ'",0,0
1049515949806837765,2018-10-09 04:24:36,b'#helloworld from twitbotcoolslash. your random numbe between 1-95 is : 77. have a nice day! #otoslotto',0,0
